OpenROAD dcf36133a369abc8f3c5e5738cd4d82e4903c0e0 
Features included (+) or not (-): +GPU +GUI +Python
This program is licensed under the BSD-3 license. See the LICENSE file for details.
Components of this program may be licensed under more restrictive licenses which must be honored.
[INFO ORD-0030] Using 8 thread(s).
read_liberty /home/kiran/OpenROAD-flow-scripts/flow/platforms/nangate45/lib/NangateOpenCellLibrary_typical.lib
read_liberty /home/kiran/OpenROAD-flow-scripts/flow/platforms/nangate45/lib/fakeram45_256x16.lib
read_db ./results/nangate45/archgen/base/3_3_place_gp.odb
read_sdc ./results/nangate45/archgen/base/2_floorplan.sdc
source /home/kiran/OpenROAD-flow-scripts/flow/platforms/nangate45/setRC.tcl
estimate_parasitics -placement
Took 7 seconds: estimate_parasitics -placement
Perform buffer insertion and gate resizing...
repair_design -verbose
Iteration |   Area    | Resized | Buffers | Nets repaired | Remaining
---------------------------------------------------------------------
        0 |     +0.0% |       0 |       0 |             0 |    189791
     1000 |     +0.0% |       0 |       0 |             0 |    188791
     2000 |     +0.0% |       0 |       0 |             0 |    187791
     3000 |     +0.0% |       0 |       0 |             0 |    186791
     4000 |     +0.0% |       0 |       0 |             0 |    185791
     5000 |     +0.0% |       0 |       0 |             0 |    184791
     6000 |     +0.0% |       0 |       0 |             0 |    183791
     7000 |     +0.0% |       0 |       0 |             0 |    182791
     8000 |     +0.0% |       0 |       0 |             0 |    181791
     9000 |     +0.0% |       0 |       0 |             0 |    180791
    10000 |     +0.0% |       0 |       0 |             0 |    179791
    11000 |     +0.0% |       0 |       0 |             0 |    178791
    12000 |     +0.0% |       0 |       0 |             0 |    177791
    13000 |     +0.0% |       0 |       0 |             0 |    176791
    14000 |     +0.0% |       0 |       0 |             0 |    175791
    15000 |     +0.0% |       0 |       0 |             0 |    174791
    16000 |     +0.0% |       0 |       0 |             0 |    173791
    17000 |     +0.0% |       0 |       0 |             0 |    172791
    18000 |     +0.0% |       0 |       0 |             0 |    171791
    19000 |     +0.0% |       0 |       0 |             0 |    170791
    20000 |     +0.0% |       0 |       0 |             0 |    169791
    21000 |     +0.0% |       0 |       1 |             1 |    168791
    22000 |     +0.0% |       0 |       1 |             1 |    167791
    23000 |     +0.0% |       0 |       1 |             1 |    166791
    24000 |     +0.0% |       0 |       1 |             1 |    165791
    25000 |     +0.0% |       0 |       1 |             1 |    164791
    26000 |     +0.0% |       0 |       2 |             2 |    163791
    27000 |     +0.0% |       0 |       2 |             2 |    162791
    28000 |     +0.0% |       0 |       2 |             2 |    161791
    29000 |     +0.0% |       0 |       2 |             2 |    160791
    30000 |     +0.0% |       0 |       2 |             2 |    159791
    31000 |     +0.0% |       0 |       2 |             2 |    158791
    32000 |     +0.0% |       0 |       2 |             2 |    157791
    33000 |     +0.0% |       0 |       2 |             2 |    156791
    34000 |     +0.0% |       0 |       2 |             2 |    155791
    35000 |     +0.0% |       0 |       2 |             2 |    154791
    36000 |     +0.0% |       0 |       2 |             2 |    153791
    37000 |     +0.0% |       0 |       2 |             2 |    152791
    38000 |     +0.0% |       0 |       2 |             2 |    151791
    39000 |     +0.0% |       0 |       2 |             2 |    150791
    40000 |     +0.0% |       0 |       2 |             2 |    149791
    41000 |     +0.0% |       0 |       3 |             3 |    148791
    42000 |     +0.0% |       0 |       5 |             5 |    147791
    43000 |     +0.0% |       0 |       6 |             6 |    146791
    44000 |     +0.0% |       0 |       6 |             6 |    145791
    45000 |     +0.0% |       0 |       6 |             6 |    144791
    46000 |     +0.0% |       0 |       6 |             6 |    143791
    47000 |     +0.0% |       0 |       6 |             6 |    142791
    48000 |     +0.0% |       0 |       6 |             6 |    141791
    49000 |     +0.0% |       0 |       6 |             6 |    140791
    50000 |     +0.0% |       0 |       6 |             6 |    139791
    51000 |     +0.0% |       0 |       6 |             6 |    138791
    52000 |     +0.0% |       0 |       6 |             6 |    137791
    53000 |     +0.0% |       0 |       6 |             6 |    136791
    54000 |     +0.0% |       0 |       9 |             9 |    135791
